title,creator,contributor,filename,objectid,date,description,subject,location,railway,latitude,longitude,format,filesize,type,rights,repository,findingaid
Manuscript by Elmer Clifton Peabody,"Peabody, Elmer Clifton",,peabodymanuscrupt.pdf,PeabodyManuscript,1952,"Elmer Peabody describes living in Breckenridge during the “Big Snow” of 1898-1899. He describes the Union Pacific rail system that connected Denver, Leadville, and Breckenridge. He describes mail deliveries, sleeper cars, and the Shock Hill switching station.",Union Pacific; Accounts; Denver South Park and Pacific,Breckenridge,Denver South Park and Pacific; Union Pacific,39.48223,-106.046184,application/pdf,13.6 MiB,Text,Copyright of Breckenridge History Archive,Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/3/2/1/321e91f09ff8f41c8c2cda0d8c4eab661ed074902b3a314d5703634fdd354d51/IMG.2016.3.1.3.pdf
Photo of Baker’s Tank,"Topolnicki Sr., John A.",,topolnickibakerstank.jpg,TopolnickiBakersTank,1966,"An image of the water tank known as Baker’s Tank.  Baker’s Tank served steam engines on the Highline Route. The tank was moved from its former location in 1910, and the Highline Route was abandoned in 1937.",Infrastructure; Highline Route; Remains,"Boreas Pass, Breckenridge","Denver South Park and Pacific Railroad;
Highline Route",39.44396861,-105.9967744,image/jpeg,166.3 KiB,Image,"Copyright of John Topolnicki, 1966",Breckenridge History Archive,https://breckhistoryarchives.org/bakers-tank-along-the-narrow-gauge-railway-route-over-boreas-pass
Photo of Illinois Gulch Railway Serving Germania Mine,"Westerman, Otto",,westermangermania.jpg,WestermanGermania,1880s-1903,The Illinois Gulch railway was a narrow gauge line serving mines and mills along Illinois Creek.,Mines; Illinois Gulch,"Germania Mine, Breckenridge, Illinois Gulch",Illinois Gulch,,,image/jpeg,345 KiB,Image,"Free use with credit: “J. Frank Willis Photograph Album. Breckenridge History, Colorado.”",Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/a/a/b/aabff847d231a93c4b66e912592d6748acb2b1afe79931c682cbf1da9f0d0397/IMG.2018.4.1.38.2.jpg
Photo of Engine Number 113 at Rocky Point,Breckenridge History,,breckenridgehistoryengine113.jpg,BreckenridgeHistoryEngine113,1889-1899,"Denver, Leadville & Gunnison (DL&G) Engine Number 113 pauses on the railroad tracks at Rocky Point cut, above the town of Breckenridge, Colorado, on the way to Boreas Pass and Como. Circa 1889-1899. The Denver, South Park & Pacific (DSP&P) operated Engine No. 113 from 1885-1889.",Boreas Pass; Trains; Denver South Park and Pacific Railroad,"Breckenridge, Rocky Point, Boreas Pass",Denver South Park and Pacific Railroad,"39.46033644804041,",-106.0246911,image/jpeg,980.8 KiB,Image,"This digital object has no restrictions and is free to use. All reproductions must include the appropriate credit: ""Summit Historical Society Collection. Image created by Breckenridge History, Colorado.""",Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/4/c/2/4c2d970457c33f9bd71955283d8250254e615cae48268cb987777a8ab7a6c328/SHS-P.441.jpg
Photo of Train Leaving Breckenridge,"Westerman, Otto",,westermantrainleaving.jpg,WestermanTrainLeaving,1899,"Snowy landscape view of Breckenridge, Colorado, looking east toward the railroad tracks on Barney Ford Hill. Plumes of smoke are visible rising from the rotary snowplow railroad engines. Bald Mountain in the background. Handwritten on the reverse: ""Last train out of Breckenridge beginning of the 78 day blockade Feb 5 at noon showing rotary 1899"". During the ""Big Snow"" event of 1898-1899",Train; Train Tracks; Town; Denver South Park and Pacific Railroad,"Breckenridge, Barney Ford Hill",Denver South Park and Pacific Railroad,39.48223,-106.046184,image/jpeg,1 MiB,Image,"This digital object has no restrictions and is free to use. All reproductions must include the appropriate credit: ""Agnes Miner Collection; Gift, Colorado Springs Ghost Town Club. Breckenridge History, Colorado.""",Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/1/c/f/1cfaee868017cdc53668b7e3b89e9f2f277fac63c002a4a73ab6f530e8eb4132/IMG.2015.1.9.jpg
Man and Locomotive on Railroad Track,"Westerman, Otto",,westermanmanontrack.jpg,WestermanManAndLocomotive,1880s-1903,"The photograph shows Breckenridge, Colorado, looking northwest from the railroad grade on Barney Ford Hill. A man stands next to the tracks in front of a locomotive stopped at Engineer's Curve, while two other men lean on the metal frame attached to the front of the train (a ""cow-catcher""). The Tenmile Range is visible in the distance. ",Trains; Train Tracks; Denver South Park and Pacific Railroad; People,"Breckenridge, Barney Ford Hill",Denver South Park and Pacific Railroad,,,image/jpeg,4.1 MiB,Image,"This digital object has no restrictions and is free to use. All reproductions must include the appropriate credit: ""J. Frank Willis Photograph Album. Breckenridge History, Colorado.",Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/4/7/7/477a1ca1b5d3bcaa7f922347c9981b608d477d01eb9fe04be4d0b390eebb88b6/IMG.2018.4.1.26.jpg
Railroad Through Illinois Gulch,"Westerman, Otto",,westermanIllinoisgulch.jpg,WestermanRailRaodThroughIllinoisGulch,1880s-1903,"Album page containing one mounted photograph shows a narrow-gauge railway through Illinois Gulch east of Breckenridge, Colorado. The Germania Mine and Mill are visible on the left, and a train travels high above the gulch on Barney Ford Hill.",Train Tracks; Mines; Illinois Gulch,Illinois Gulch,Illinois Gulch,,,image/jpeg,4.3 MiB,Image,"This digital object has no restrictions and is free to use. All reproductions must include the appropriate credit: ""J. Frank Willis Photograph Album. Breckenridge History, Colorado.""",Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/a/f/e/afe8b50d6a71c17c1f8daf00b47d8f63f407342c22a129199dbad8e9bcf0cfa5/IMG.2018.4.1.40.jpg
View on the South Park railway near Breckenridge,"Westerman, Otto",,westermanviewonsouthpark.jpg,WestermanViewOnTheSouthPark,1880s-1904,"A man walking on the Denver, South Park and Pacific (DSP&P) Railway tracks at the base of Mount Royal, near Ten Mile Creek, west of Frisco, Colorado. A simple gable-roofed wooden structure is visible in the distance on the far left",Trains; Denver South Park and Pacific,Frisco,Denver South Park and Pacific,39.5745174,-106.1079301,image/jpeg,4.6 MiB,Image,"This digital object has no restrictions and is free to use. All reproductions must include the appropriate credit: ""J. Frank Willis Photograph Album. Breckenridge History, Colorado.""",Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/6/5/5/6552d858abfbc38316aeed435484f366be6cf9b2e9d7165efa38826308bc91dd/IMG.2018.4.1.37.jpg
Boreas Pass Train Depot in Winter,"Westerman, Otto",,westermanboreasdepot.jpg,WestermanBoreasPassDepot,1899,"Train depot and railroad tracks on Boreas Pass, east of Breckenridge. A man leans against a wood utility pole flanked by two walls of snow that reach the gable of the depot building behind him. In the background are snow-covered mountains. Handwritten on the reverse: ""Top of Boreas Pass, Depot, remains of snow tunnel"" and stamped ""O. Westerman, Photographer, Breckenridge, Colorado"". Circa 1899.",Infrastructure; Trains; Denver South Park and Pacific Railroad; People,"Breckenridge, Boreas Pass",Denver South Park and Pacific Railroad,39.41209133,-105.9669719,image/jpeg,1.1 MiB,Image,"This digital object has no restrictions and is free to use. All reproductions must include the appropriate credit: ""Agnes Miner Collection; Gift, Colorado Springs Ghost Town Club. Breckenridge History, Colorado.""",Breckenridge History Archive,https://breckhistoryarchives.org/uploads/r/breckenridge-history-archives/f/1/2/f1201c756206cda63d6db0751c713e782e64ef3e9ec9228b98fcb777dfe6676d/IMG.2015.1.21.jpg
Photo of Boreas Pass Road from Blue River,"Vidic, Luke",,vidicboreaspass.jpg,VidicBoreasPass,2026,"A photograph of the Boreas Pass, as seen from Blue River. Boreas Pass Road can be seen on the left, cutting a thin line into the hillside towards Boreas Pass. The road follows the path of the Boreas Pass railway.",Remains; Denver South Park and Pacific Railroad,"Breckenridge, Boreas Pass",Denver South Park and Pacific Railroad,39.45221296,-106.0372779,image/jpeg,4.3 MB,Image,Creative Commons,,https://photos.app.goo.gl/A98muAh87yYaVnnV7
